sn,title,location,format,oclc,startyear,endyear,freq,material_dates
2017234421,Olivet Baptist Church herald.,"California State Univ, San Marcos, San Marcos, CA",Unspecified,44855240,1913,19??,Weekly,
2017234421,Olivet Baptist Church herald.,"Univ of California, San Diego, La Jolla, CA",Online Resource,44855240,1913,19??,Weekly,
sn00062059,Chicago communicator newspaper.,"Chicago Hist Soc Libr, Chicago, IL",Original,45112959,1997,current,Biweekly,<2000:5:20>
sn2001061344,The Southeast sun.,"Univ of Illinois, Urbana, IL",Unspecified,48461190,1971,197?,Weekly,"1985:2:15,1986:1:24-2:7,4:4-25,7:25-8:7,22,1987:2:6,2:27-3:6,7:3-8:28,10:9-30,12:4,1988:1:8-15,1:29-2:19,3:17,31,4:14-5:19,6:2,9,23-12:29,1989:1:5-5:4,5:25-12:28,1990:1:4-3:15,29,6:14,28,10:4-12:27,1991:1:3-4:4"
sn2008020210,Robbins central news.,"Chicago Hist Soc Libr, Chicago, IL",Microfilm Service Copy,190785675,1967,????,Weekly,<1967:9:21>
sn2008020210,Robbins central news.,"Univ of Illinois, Urbana, IL",Unspecified,190785675,1967,????,Weekly,1967:Sep.21
sn2008060202,The gazette.,"Chicago Hist Soc Libr, Chicago, IL",Microfilm Service Copy,190763601,1953,19??,,<1953:7:11>
sn2008060202,The gazette.,"Univ of Illinois, Urbana, IL",Unspecified,190763601,1953,19??,,1973:Jul.11
sn2008060204,Robbins journal.,"Chicago Hist Soc Libr, Chicago, IL",Microfilm Service Copy,190785511,19??,19??,Weekly,<1973:12:27-1975:5:22>
sn2008060204,Robbins journal.,"Univ of Illinois, Urbana, IL",Unspecified,190785511,19??,19??,Weekly,"1973:12:27,1974:1:4,1975:3:20-27,5:22"
sn2008060205,The Robbins informer.,"Chicago Hist Soc Libr, Chicago, IL",Microfilm Service Copy,190785521,1947,????,,<1948:1:31>
sn2008060205,The Robbins informer.,"Univ of Illinois, Urbana, IL",Unspecified,190785521,1947,????,,1948:Jan.31
sn2008060206,Robbins star.,"Univ of Illinois, Urbana, IL",Unspecified,190785538,1960,1960,Weekly,"1960:9:30-10:14,29"
sn78004682,Bilalian news.,"Abraham Lincoln Presidential Libr, Springfield, IL",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Boston Pub Libr, Boston, MA",Original,2975269,1975,1981,Weekly,<1976:1:16-1981:10:30>
sn78004682,Bilalian news.,"California State Libr, Sacramento, CA",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1980:6>
sn78004682,Bilalian news.,"Chicago Hist Soc Libr, Chicago, IL",Original,2975269,1975,1981,Weekly,<1977:5:27><1978:7:21><1980:5:30>
sn78004682,Bilalian news.,"Chicago Pub Libr, Chicago, IL",Microfilm Service Copy,2975269,1975,1981,Weekly,<1976:1:2-1980:12:26>
sn78004682,Bilalian news.,"Chicago Pub Libr, Chicago, IL",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"County of Los Angeles Pub Libr, Downey, CA",Microfilm Service Copy,2975269,1975,1981,Weekly,<1976:7:1-12:31>
sn78004682,Bilalian news.,"Dallas Pub Libr, Dallas, TX",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Duke Univ Libr, Durham, NC",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Free Libr of Philadelphia, Philadelphia, PA",Unspecified,2975269,1975,1981,Weekly,"[Microfilm=1-6 1976-1981 0,5]"
sn78004682,Bilalian news.,"Free Pub Libr of Newark, New Jersey, Newark, NJ",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Howard Univ, Washington, DC",Unspecified,2975269,1975,1981,Weekly,For microfilm see #3764114
sn78004682,Bilalian news.,"Illinois State Univ, Normal, IL",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Kent State Univ, Kent, OH",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Michigan State Univ, E Lansing, MI",Original,2975269,1975,1981,Weekly,<1975:10:24-1981:10:30>
sn78004682,Bilalian news.,"Millersville Univ, Helen Ganser Libr, Millersville, PA",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"North Carolina A&amp;T State Univ, Greensboro, NC",Unspecified,2975269,1975,1981,Weekly,1977-1981
sn78004682,Bilalian news.,"North Carolina A&amp;T State Univ, Greensboro, NC",Unspecified,2975269,1975,1981,Weekly,Jan-Jun1977
sn78004682,Bilalian news.,"Northwestern Univ, Evanston, IL",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Northwestern Univ, Evanston, IL",Original,2975269,1975,1981,Weekly,<1981:1:2-6:26>
sn78004682,Bilalian news.,"Queens Borough Pub Libr, Flushing, NY",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Roosevelt Pub Libr, Roosevelt, NY",Unspecified,2975269,1975,1981,Weekly,CURRENT YEAR ONLY
sn78004682,Bilalian news.,"State Univ of New York, Binghamton Libr, Binghamton, NY",Unspecified,2975269,1975,1981,Weekly,Retains current six months.
sn78004682,Bilalian news.,"Suny At Stony Brook, Stony Brook, NY",Microfilm Service Copy,2975269,1975,1981,Weekly,<1976:1:16-1981:10:30>
sn78004682,Bilalian news.,"Suny Col At Purchase, Purchase, NY",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:1-1981:10:30>
sn78004682,Bilalian news.,"Union Col, Schenectady, NY",Microform,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Cent Oklahoma, Edmond, OK",Unspecified,2975269,1975,1981,Weekly,"[Microfilm=v.1-v.6 1975-1981 0,5,8]"
sn78004682,Bilalian news.,"Univ of Chicago, Chicago, IL",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Connecticut, Storrs, CT",Original,2975269,1975,1981,Weekly,"<1976:3:19><1978:2:3, 6:2, 6:16-7:7, 7:21, 8:25, 9:22-10:6, 10:27-12:15><1978:12:29-1979:3:16><1979:3:30><1979:4:13-1980:10:10><1981:7:17>"
sn78004682,Bilalian news.,"Univ of Illinois, Urbana, IL",Original,2975269,1975,1981,Weekly,Copy 1 has 1975:11:7-1981:10:30.
sn78004682,Bilalian news.,"Univ of Illinois, Chicago, Chicago, IL",Unspecified,2975269,1975,1981,Weekly,v.15:no.9(1975:Nov.7)
sn78004682,Bilalian news.,"Univ of Louisville, Louisville, KY",Unspecified,2975269,1975,1981,Weekly,v.1 (1975)-v.6 (1981)
sn78004682,Bilalian news.,"Univ of Memphis, Memphis, TN",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Oregon Libr, Eugene, OR",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Pittsburgh, Pittsburgh, PA",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Rhode Island, Kingston, RI",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Univ of Rochester, Rochester, NY",Unspecified,2975269,1975,1981,Weekly,
sn78004682,Bilalian news.,"Univ of Tennessee, Knoxville, TN",Microfilm Service Copy,2975269,1975,1981,Weekly,<1975:11:7-1981:10:30>
sn78004682,Bilalian news.,"Univ of Washington Libr, Seattle, WA",Original,2975269,1975,1981,Weekly,Incomplete
sn81002525,World Muslim news.,"Abraham Lincoln Presidential Libr, Springfield, IL",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Buffalo &amp; Erie Cnty Pub Libr, Buffalo, NY",Original,7966890,1981,1982,Weekly,"<1982:1:1-8,22-2:26, 3:19-4:2,16-5:14>"
sn81002525,World Muslim news.,"County of Los Angeles Pub Libr, Downey, CA",Microfilm Service Copy,7966890,1981,1982,Weekly,<1982:1:1-5:14>
sn81002525,World Muslim news.,"Dallas Pub Libr, Dallas, TX",Unspecified,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Duke Univ Libr, Durham, NC",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Free Libr of Philadelphia, Philadelphia, PA",Unspecified,7966890,1981,1982,Weekly,"[Microfilm=7 1981-1982 0,5]"
sn81002525,World Muslim news.,"Free Pub Libr of Newark, New Jersey, Newark, NJ",Unspecified,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Illinois State Univ, Normal, IL",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Michigan State Univ, E Lansing, MI",Unspecified,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Millersville Univ, Helen Ganser Libr, Millersville, PA",Unspecified,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"New York Pub Libr Res Libr, New York, NY",Microfilm Service Copy,7966890,1981,1982,Weekly,s=<1982:1:1-5:14>
sn81002525,World Muslim news.,"North Carolina A&amp;T State Univ, Greensboro, NC",Unspecified,7966890,1981,1982,Weekly,Jan-Jun1982
sn81002525,World Muslim news.,"Queens Borough Pub Libr, Flushing, NY",Unspecified,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Queens Col, Flushing, NY",Unspecified,7966890,1981,1982,Weekly,Retains current & previous year
sn81002525,World Muslim news.,"Suny At Stony Brook, Stony Brook, NY",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Suny Col At Purchase, Purchase, NY",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-12:25>
sn81002525,World Muslim news.,"Union Col, Schenectady, NY",Microform,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Univ of California, Los Angeles, Los Angeles, CA",Microform,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Univ of Cent Oklahoma, Edmond, OK",Unspecified,7966890,1981,1982,Weekly,"[microfilm=v.7 1981-1982 0,5,8]"
sn81002525,World Muslim news.,"Univ of Chicago, Chicago, IL",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6-1982:5:14>
sn81002525,World Muslim news.,"Univ of Connecticut, Storrs, CT",Original,7966890,1981,1982,Weekly,"<1981:11:6-1982:1:29><1982:3:12, 4:2-9>"
sn81002525,World Muslim news.,"Univ of Illinois, Urbana, IL",Original,7966890,1981,1982,Weekly,1981:11:6-1982:5:14; A.M. News: 1982:5:14.
sn81002525,World Muslim news.,"Univ of Illinois, Chicago, Chicago, IL",Unspecified,7966890,1981,1982,Weekly,v.7(1981/1982)
sn81002525,World Muslim news.,"Univ of Louisville, Louisville, KY",Unspecified,7966890,1981,1982,Weekly,v.7 (1981/1982)
sn81002525,World Muslim news.,"Univ of Memphis, Memphis, TN",Unspecified,7966890,1981,1982,Weekly,
sn81002525,World Muslim news.,"Univ of Tennessee, Knoxville, TN",Microfilm Service Copy,7966890,1981,1982,Weekly,<1981:11:6- 12:25>
sn81002525,World Muslim news.,"Univ of Washington Libr, Seattle, WA",Original,7966890,1981,1982,Weekly,Incomplete
sn82015409,Sunday Chicago bee.,"Chicago Hist Soc Libr, Chicago, IL",Microfilm Service Copy,8807768,1925,19??,Weekly,"<1938:5:1><1939:6:25><1940:7:21, 9:1><1941:5:4, 6:29><1942:3:1, 8:2><1943:4:4, 12:5><1946:10:13-20>"
sn82015409,Sunday Chicago bee.,"Chicago Hist Soc Libr, Chicago, IL",Original,8807768,1925,19??,Weekly,"<1938:5:1><1939:6:25><1940:7:21, 9:1><1941:5:4, 6:29><1942:3:1, 8:2><1943:4:4, 12:5><1946:10:13-20>"
sn82015409,Sunday Chicago bee.,"Library of Congress, Washington, DC",Microfilm Service Copy,8807768,1925,19??,Weekly,s=<1946:11:3-12:29>
sn82015409,Sunday Chicago bee.,"Library of Congress, Washington, DC",Microfilm Master,8807768,1925,19??,Weekly,m=<1946:11:3-12:29>
sn82015409,Sunday Chicago bee.,"Univ of Illinois, Urbana, IL",Microfilm Master,8807768,1925,19??,Weekly,"<1938:5:1><1939:6:25><1940:7:21, 9:1><1941:5:4, 6:29><1942:3:1, 8:2><1943:4:4, 12:5><1946:10:13-20>"
sn82015409,Sunday Chicago bee.,"Univ of Illinois, Urbana, IL",Microfilm Service Copy,8807768,1925,19??,Weekly,"<1938:5:1><1939:6:25><1940:7:21, 9:1><1941:5:4, 6:29><1942:3:1, 8:2><1943:4:4, 12:5><1946:10:13-20>"
sn82017081,A.M. news.,"Abraham Lincoln Presidential Libr, Springfield, IL",Microfilm Service Copy,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"Buffalo &amp; Erie Cnty Pub Libr, Buffalo, NY",Original,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"Free Libr of Philadelphia, Philadelphia, PA",Unspecified,8479022,1982,1982,Weekly,"[Microfilm=7 1982 0,5]"
sn82017081,A.M. news.,"Illinois State Univ, Normal, IL",Microfilm Service Copy,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"Michigan State Univ, E Lansing, MI",Original,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"New York Pub Libr Res Libr, New York, NY",Microfilm Service Copy,8479022,1982,1982,Weekly,s=<1982:5:14>
sn82017081,A.M. news.,"Queens Borough Pub Libr, Flushing, NY",Unspecified,8479022,1982,1982,Weekly,
sn82017081,A.M. news.,"Suny At Stony Brook, Stony Brook, NY",Microfilm Service Copy,8479022,1982,1982,Weekly,s=<1982:5:14>
sn82017081,A.M. news.,"Suny Col At Purchase, Purchase, NY",Microfilm Service Copy,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"Univ of California, Santa Barbara, Santa Barbara, CA",Unspecified,8479022,1982,1982,Weekly,v.7:no.30(1982)
sn82017081,A.M. news.,"Univ of Cent Oklahoma, Edmond, OK",Unspecified,8479022,1982,1982,Weekly,"[Microfilm=v.7 1982 0,5,8]"
sn82017081,A.M. news.,"Univ of Chicago, Chicago, IL",Microfilm Service Copy,8479022,1982,1982,Weekly,<1982:5:14>
sn82017081,A.M. news.,"Univ of Illinois, Urbana, IL",Original,8479022,1982,1982,Weekly,1982:May 14
sn82017081,A.M. news.,"Univ of Illinois, Chicago, Chicago, IL",Unspecified,8479022,1982,1982,Weekly,v.7:no.30(1982:May14)
sn82017081,A.M. news.,"Univ of Memphis, Memphis, TN",Unspecified,8479022,1982,1982,Weekly,
sn82017087,A.M. journal.,"Abraham Lincoln Presidential Libr, Springfield, IL",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"Brigham Young Univ Libr, Provo, UT",Unspecified,8484170,1982,1985,Weekly,NRN:ADM2305
sn82017087,A.M. journal.,"Buffalo &amp; Erie Cnty Pub Libr, Buffalo, NY",Original,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"California State Univ, San Bernardino, San Bernardino, CA",Unspecified,8484170,1982,1985,Weekly,[Microfilm=1982-1984]
sn82017087,A.M. journal.,"Chicago Pub Libr, Chicago, IL",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"County of Los Angeles Pub Libr, Downey, CA",Microfilm Service Copy,8484170,1982,1985,Weekly,<1984:7:1-12:31>
sn82017087,A.M. journal.,"Duke Univ Libr, Durham, NC",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"East Orange Libr, East Orange, NJ",Unspecified,8484170,1982,1985,Weekly,keep 6 months
sn82017087,A.M. journal.,"Education Opportunity Ctr of Suny Libr, Syracuse, NY",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Florida A&amp;M Univ, Tallahassee, FL",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Free Libr of Philadelphia, Philadelphia, PA",Unspecified,8484170,1982,1985,Weekly,"[Microfilm=7-10 1982-1985 0,5]"
sn82017087,A.M. journal.,"Illinois State Univ, Normal, IL",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"Laguardia Commun Col Libr Media Res Ctr, Long Island City, NY",Unspecified,8484170,1982,1985,Weekly,current issues only
sn82017087,A.M. journal.,"Michigan State Univ, E Lansing, MI",Original,8484170,1982,1985,Weekly,<1982:5:14-1985:5:3>
sn82017087,A.M. journal.,"New York Pub Libr Res Libr, New York, NY",Microfilm Service Copy,8484170,1982,1985,Weekly,s=<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"North Carolina A&amp;T State Univ, Greensboro, NC",Unspecified,8484170,1982,1985,Weekly,1982-1985
sn82017087,A.M. journal.,"North Carolina A&amp;T State Univ, Greensboro, NC",Unspecified,8484170,1982,1985,Weekly,Jan-Jun 1983
sn82017087,A.M. journal.,"Northern Illinois Univ, Dekalb, IL",Original,8484170,1982,1985,Weekly,"MAY 1982-MAY 3, 1985"
sn82017087,A.M. journal.,"Northwestern Univ, Evanston, IL",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"Queens Borough Pub Libr, Flushing, NY",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Queens Col, Flushing, NY",Unspecified,8484170,1982,1985,Weekly,Retains current and previous year
sn82017087,A.M. journal.,"Suny At Stony Brook, Stony Brook, NY",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"Suny Col At Purchase, Purchase, NY",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:7:2-1985:5:3>
sn82017087,A.M. journal.,"Syracuse Univ, Syracuse, NY",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Union Col, Schenectady, NY",Microform,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Univ of California, Davis, Shields Libr, Davis, CA",Microfilm Service Copy,8484170,1982,1985,Weekly,<1985:1:4-5:3>
sn82017087,A.M. journal.,"Univ of California, Los Angeles, Los Angeles, CA",Microform,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Univ of Cent Oklahoma, Edmond, OK",Unspecified,8484170,1982,1985,Weekly,"[Microfilm=7-10 1982:05-1985:05 0,5]"
sn82017087,A.M. journal.,"Univ of Chicago, Chicago, IL",Microfilm Service Copy,8484170,1982,1985,Weekly,<1982:5:21-1985:5:3>
sn82017087,A.M. journal.,"Univ of Connecticut, Storrs, CT",Original,8484170,1982,1985,Weekly,<1984:1:27-1985:5:3>
sn82017087,A.M. journal.,"Univ of Illinois, Urbana, IL",Original,8484170,1982,1985,Weekly,Copy 1 has 1982:5:21-1985:5:3.
sn82017087,A.M. journal.,"Univ of Illinois, Chicago, Chicago, IL",Unspecified,8484170,1982,1985,Weekly,v.7(1982)
sn82017087,A.M. journal.,"Univ of Louisville, Louisville, KY",Unspecified,8484170,1982,1985,Weekly,v.7:no.31 (1982:May 21)-v.10:no.27 (1985:May 3)
sn82017087,A.M. journal.,"Univ of Memphis, Memphis, TN",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Univ of Oregon Libr, Eugene, OR",Unspecified,8484170,1982,1985,Weekly,
sn82017087,A.M. journal.,"Univ of Washington Libr, Seattle, WA",Original,8484170,1982,1985,Weekly,Incomplete
sn83045023,The Chicago bee.,"Center For Res Libr, Newsp Proj, Chicago, IL",Microfilm Service Copy,9290081,1925,????,Weekly,<1943:1:3-1947:8:17>
sn84024172,The Illinois record.,"Abraham Lincoln Presidential Libr, Springfield, IL",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Arizona State Univ, Tempe, AZ",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Boston Pub Libr, Boston, MA",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"California State Univ, San Marcos, San Marcos, CA",Unspecified,10601352,1897,1???,Weekly,
sn84024172,The Illinois record.,"Dekalb Cnty Libr, Chicago, IL",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Indiana Univ, Bloomington, IN",Unspecified,10601352,1897,1???,Weekly,Nov. 6 1897-Apr. 23 1899
sn84024172,The Illinois record.,"Johns Hopkins Univ, Baltimore, MD",Microfilm Service Copy,10601352,1897,1???,Weekly,s=<1897:11:6-12:25><1898:1:1-1899:4:23>
sn84024172,The Illinois record.,"Kent State Univ, Kent, OH",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Library of Congress, Washington, DC",Microfilm Service Copy,10601352,1897,1???,Weekly,s=<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Library of Congress, Washington, DC",Microfilm Master,10601352,1897,1???,Weekly,m=<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Library of Virginia, The, Richmond, VA",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-1899:4:23>
sn84024172,The Illinois record.,"Morgan State Univ, Baltimore, MD",Microfilm Service Copy,10601352,1897,1???,Weekly,<1897:11:6-12:25><1898:1:1-1899:4:23>
sn84024172,The Illinois record.,"New York Pub Libr Res Libr, New York, NY",Microfilm Service Copy,10601352,1897,1???,Weekly,s=<1897:11:6-1899:4:23>
